Sr. No.,Symbol,Company Name
1,RELIANCE,Reliance Industries Limited
2,TCS,Tata Consultancy Services Limited
3,HDFCBANK,HDFC Bank Limited
4,ICICIBANK,ICICI Bank Limited
5,HINDUNILVR,Hindustan Unilever Limited
6,INFY,Infosys Limited
7,HDFC,Housing Development Finance Corporation Limited
8,ITC,ITC Limited
9,SBIN,State Bank of India
10,BHARTIARTL,Bharti Airtel Limited
11,KOTAKBANK,Kotak Mahindra Bank Limited
12,BAJFINANCE,Bajaj Finance Limited
13,LICI,Life Insurance Corporation Of India
14,LT,Larsen & Toubro Limited
15,HCLTECH,HCL Technologies Limited
16,ASIANPAINT,Asian Paints Limited
17,AXISBANK,Axis Bank Limited
18,MARUTI,Maruti Suzuki India Limited
19,SUNPHARMA,Sun Pharmaceutical Industries Limited
20,TITAN,Titan Company Limited
21,DMART,Avenue Supermarts Limited
22,ULTRACEMCO,UltraTech Cement Limited
23,BAJAJFINSV,Bajaj Finserv Limited
24,WIPRO,Wipro Limited
25,ADANIENT,Adani Enterprises Limited
26,ONGC,Oil & Natural Gas Corporation Limited
27,NTPC,NTPC Limited
28,JSWSTEEL,JSW Steel Limited
29,POWERGRID,Power Grid Corporation of India Limited
30,M&M,Mahindra & Mahindra Limited
31,LTIM,LTIMindtree Limited
32,TATAMOTORS,Tata Motors Limited
33,ADANIGREEN,Adani Green Energy Limited
34,ADANIPORTS,Adani Ports and Special Economic Zone Limited
35,COALINDIA,Coal India Limited
36,TATASTEEL,Tata Steel Limited
37,HINDZINC,Hindustan Zinc Limited
38,PIDILITIND,Pidilite Industries Limited
39,SIEMENS,Siemens Limited
40,ADANITRANS,Adani Transmission Limited
41,SBILIFE,SBI Life Insurance Company Limited
42,IOC,Indian Oil Corporation Limited
43,BAJAJ-AUTO,Bajaj Auto Limited
44,GRASIM,Grasim Industries Limited
45,TECHM,Tech Mahindra Limited
46,HDFCLIFE,HDFC Life Insurance Company Limited
47,BRITANNIA,Britannia Industries Limited
48,VEDL,Vedanta Limited
49,GODREJCP,Godrej Consumer Products Limited
50,DABUR,Dabur India Limited
51,ATGL,Adani Total Gas Limited
52,SHREECEM,SHREE CEMENT LIMITED
53,HAL,Hindustan Aeronautics Limited
54,HINDALCO,Hindalco Industries Limited
55,VBL,Varun Beverages Limited
56,DLF,DLF Limited
57,BANKBARODA,Bank of Baroda
58,INDUSINDBK,IndusInd Bank Limited
59,EICHERMOT,Eicher Motors Limited
60,DRREDDY,Dr. Reddy's Laboratories Limited
61,DIVISLAB,Divi's Laboratories Limited
62,BPCL,Bharat Petroleum Corporation Limited
63,HAVELLS,Havells India Limited
64,ADANIPOWER,Adani Power Limited
65,INDIGO,InterGlobe Aviation Limited
66,CIPLA,Cipla Limited
67,AMBUJACEM,Ambuja Cements Limited
68,SRF,SRF Limited
69,ABB,ABB India Limited
70,BEL,Bharat Electronics Limited
71,SBICARD,SBI Cards and Payment Services Limited
72,GAIL,GAIL (India) Limited
73,BAJAJHLDNG,Bajaj Holdings & Investment Limited
74,TATACONSUM,TATA CONSUMER PRODUCTS LIMITED
75,ICICIPRULI,ICICI Prudential Life Insurance Company Limited
76,CHOLAFIN,Cholamandalam Investment and Finance Company Limited
77,MARICO,Marico Limited
78,APOLLOHOSP,Apollo Hospitals Enterprise Limited
79,TATAPOWER,Tata Power Company Limited
80,BOSCHLTD,Bosch Limited
81,BERGEPAINT,Berger Paints (I) Limited
82,JINDALSTEL,Jindal Steel & Power Limited
83,MCDOWELL-N,United Spirits Limited
84,UPL,UPL Limited
85,AWL,Adani Wilmar Limited
86,ICICIGI,ICICI Lombard General Insurance Company Limited
87,TORNTPHARM,Torrent Pharmaceuticals Limited
88,CANBK,Canara Bank
89,PNB,Punjab National Bank
90,TVSMOTOR,TVS Motor Company Limited
91,ZYDUSLIFE,Zydus Lifesciences Limited
92,TIINDIA,Tube Investments of India Limited
93,TRENT,Trent Limited
94,IDBI,IDBI Bank Limited
95,NAUKRI,Info Edge (India) Limited
96,SHRIRAMFIN,Shriram Finance Limited
97,HEROMOTOCO,Hero MotoCorp Limited
98,INDHOTEL,The Indian Hotels Company Limited
99,PIIND,PI Industries Limited
100,IRCTC,Indian Railway Catering And Tourism Corporation Limited
101,CGPOWER,CG Power and Industrial Solutions Limited
102,UNIONBANK,Union Bank of India
103,MOTHERSON,Samvardhana Motherson International Limited
104,CUMMINSIND,Cummins India Limited
105,SCHAEFFLER,Schaeffler India Limited
106,LODHA,Macrotech Developers Limited
107,ZOMATO,Zomato Limited
108,PGHH,Procter & Gamble Hygiene and Health Care Limited
109,YESBANK,Yes Bank Limited
110,POLYCAB,Polycab India Limited
111,MAXHEALTH,Max Healthcare Institute Limited
112,IOB,Indian Overseas Bank
113,PAGEIND,Page Industries Limited
114,COLPAL,Colgate Palmolive (India) Limited
115,ASHOKLEY,Ashok Leyland Limited
116,ALKEM,Alkem Laboratories Limited
117,NHPC,NHPC Limited
118,PAYTM,One 97 Communications Limited
119,PFC,Power Finance Corporation Limited
120,JSWENERGY,JSW Energy Limited
121,MUTHOOTFIN,Muthoot Finance Limited
122,AUBANK,AU Small Finance Bank Limited
123,INDUSTOWER,Indus Towers Limited
124,BALKRISIND,Balkrishna Industries Limited
125,UBL,United Breweries Limited
126,ABCAPITAL,Aditya Birla Capital Limited
127,TATAELXSI,Tata Elxsi Limited
128,DALBHARAT,Dalmia Bharat Limited
129,HDFCAMC,HDFC Asset Management Company Limited
130,INDIANB,Indian Bank
131,ASTRAL,Astral Limited
132,BHARATFORG,Bharat Forge Limited
133,LTTS,L&T Technology Services Limited
134,MRF,MRF Limited
135,TATACOMM,Tata Communications Limited
136,NYKAA,FSN E-Commerce Ventures Limited
137,CONCOR,Container Corporation of India Limited
138,PERSISTENT,Persistent Systems Limited
139,PATANJALI,Patanjali Foods Limited
140,IRFC,Indian Railway Finance Corporation Limited
141,LINDEINDIA,Linde India Limited
142,IDFCFIRSTB,IDFC First Bank Limited
143,PETRONET,Petronet LNG Limited
144,SOLARINDS,Solar Industries India Limited
145,SAIL,Steel Authority of India Limited
146,MPHASIS,MphasiS Limited
147,HINDPETRO,Hindustan Petroleum Corporation Limited
148,APLAPOLLO,APL Apollo Tubes Limited
149,FLUOROCHEM,Gujarat Fluorochemicals Limited
150,NMDC,NMDC Limited
151,HONAUT,Honeywell Automation India Limited
152,SUPREMEIND,Supreme Industries Limited
153,GUJGASLTD,Gujarat Gas Limited
154,BANDHANBNK,Bandhan Bank Limited
155,ACC,ACC Limited
156,OBEROIRLTY,Oberoi Realty Limited
157,BANKINDIA,Bank of India
158,RECLTD,REC Limited
159,AUROPHARMA,Aurobindo Pharma Limited
160,STARHEALTH,Star Health and Allied Insurance Company Limited
161,IGL,Indraprastha Gas Limited
162,LUPIN,Lupin Limited
163,UCOBANK,UCO Bank
164,JUBLFOOD,Jubilant Foodworks Limited
165,POLICYBZR,PB Fintech Limited
166,GODREJPROP,Godrej Properties Limited
167,M&MFIN,Mahindra & Mahindra Financial Services Limited
168,IDEA,Vodafone Idea Limited
169,OFSS,Oracle Financial Services Software Limited
170,FEDERALBNK,The Federal Bank  Limited
171,MANYAVAR,Vedant Fashions Limited
172,UNOMINDA,UNO Minda Limited
173,AIAENG,AIA Engineering Limited
174,THERMAX,Thermax Limited
175,OIL,Oil India Limited
176,VOLTAS,Voltas Limited
177,3MINDIA,3M India Limited
178,COROMANDEL,Coromandel International Limited
179,SUNDARMFIN,Sundaram Finance Limited
180,KPITTECH,KPIT Technologies Limited
181,DEEPAKNTR,Deepak Nitrite Limited
182,ESCORTS,Escorts Kubota Limited
183,BIOCON,Biocon Limited
184,TATACHEM,Tata Chemicals Limited
185,TORNTPOWER,Torrent Power Limited
186,GMRINFRA,GMR Airports Infrastructure Limited
187,BHEL,Bharat Heavy Electricals Limited
188,SONACOMS,Sona BLW Precision Forgings Limited
189,DELHIVERY,Delhivery Limited
190,SYNGENE,Syngene International Limited
191,CRISIL,CRISIL Limited
192,GICRE,General Insurance Corporation of India
193,COFORGE,Coforge Limited
194,PHOENIXLTD,The Phoenix Mills Limited
195,JKCEMENT,JK Cement Limited
196,POONAWALLA,Poonawalla Fincorp Limited
197,GLAXO,GlaxoSmithKline Pharmaceuticals Limited
198,MFSL,Max Financial Services Limited
199,METROBRAND,Metro Brands Limited
200,MSUMI,Motherson Sumi Wiring India Limited
201,SUMICHEM,Sumitomo Chemical India Limited
202,RELAXO,Relaxo Footwears Limited
203,NAVINFLUOR,Navin Fluorine International Limited
204,SKFINDIA,SKF India Limited
205,CENTRALBK,Central Bank of India
206,GLAND,Gland Pharma Limited
207,KANSAINER,Kansai Nerolac Paints Limited
208,GRINDWELL,Grindwell Norton Limited
209,TIMKEN,Timken India Limited
210,IPCALAB,IPCA Laboratories Limited
211,SUNDRMFAST,Sundram Fasteners Limited
212,ATUL,Atul Limited
213,ZEEL,Zee Entertainment Enterprises Limited
214,L&TFH,L&T Finance Holdings Limited
215,ABFRL,Aditya Birla Fashion and Retail Limited
216,APOLLOTYRE,Apollo Tyres Limited
217,KPRMILL,K.P.R. Mill Limited
218,ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited
219,FORTIS,Fortis Healthcare Limited
220,AARTIIND,Aarti Industries Limited
221,HATSUN,Hatsun Agro Product Limited
222,CARBORUNIV,Carborundum Universal Limited
223,CROMPTON,Crompton Greaves Consumer Electricals Limited
224,VINATIORGA,Vinati Organics Limited
225,IIFL,IIFL Finance Limited
226,BATAINDIA,Bata India Limited
227,BDL,Bharat Dynamics Limited
228,LICHSGFIN,LIC Housing Finance Limited
229,RAJESHEXPO,Rajesh Exports Limited
230,RAMCOCEM,The Ramco Cements Limited
231,ENDURANCE,Endurance Technologies Limited
232,DEVYANI,Devyani International Limited
233,PSB,Punjab & Sind Bank
234,DIXON,Dixon Technologies (India) Limited
235,KAJARIACER,Kajaria Ceramics Limited
236,WHIRLPOOL,Whirlpool of India Limited
237,MAHABANK,Bank of Maharashtra
238,SUNTV,Sun TV Network Limited
239,PEL,Piramal Enterprises Limited
240,PRESTIGE,Prestige Estates Projects Limited
241,NIACL,The New India Assurance Company Limited
242,RADICO,Radico Khaitan Limited
243,PFIZER,Pfizer Limited
244,NH,Narayana Hrudayalaya Ltd.
245,EMAMILTD,Emami Limited
246,LAURUSLABS,Laurus Labs Limited
247,FIVESTAR,Five-Star Business Finance Limited
248,AJANTPHARM,Ajanta Pharma Limited
249,INDIAMART,Indiamart Intermesh Limited
250,360ONE,360 ONE WAM LIMITED
251,KEI,KEI Industries Limited
252,JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited
253,LALPATHLAB,Dr. Lal Path Labs Ltd.
254,JSL,Jindal Stainless Limited
255,IRB,IRB Infrastructure Developers Limited
256,EXIDEIND,Exide Industries Limited
257,PVR,PVR Limited
258,GSPL,Gujarat State Petronet Limited
259,BLUEDART,Blue Dart Express Limited
260,NATIONALUM,National Aluminium Company Limited
261,RVNL,Rail Vikas Nigam Limited
262,CREDITACC,CREDITACCESS GRAMEEN LIMITED
263,TRIDENT,Trident Limited
264,POWERINDIA,Hitachi Energy India Limited
265,MEDANTA,Global Health Limited
266,GILLETTE,Gillette India Limited
267,RATNAMANI,Ratnamani Metals & Tubes Limited
268,ELGIEQUIP,Elgi Equipments Limited
269,ISEC,ICICI Securities Limited
270,CGCL,Capri Global Capital Limited
271,GODREJIND,Godrej Industries Limited
272,CLEAN,Clean Science and Technology Limited
273,MAZDOCK,Mazagon Dock Shipbuilders Limited
274,MAHINDCIE,Mahindra CIE Automotive Limited
275,AEGISCHEM,Aegis Logistics Limited
276,FACT,Fertilizers and Chemicals Travancore Limited
277,BLUESTARCO,Blue Star Limited
278,SANOFI,Sanofi India Limited
279,FINEORG,Fine Organic Industries Limited
280,AFFLE,Affle (India) Limited
281,GLENMARK,Glenmark Pharmaceuticals Limited
282,NAM-INDIA,Nippon Life India Asset Management Limited
283,SJVN,SJVN Limited
284,REDINGTON,Redington Limited
285,AAVAS,Aavas Financiers Limited
286,IDFC,IDFC Limited
287,FINCABLES,Finolex Cables Limited
288,NUVOCO,Nuvoco Vistas Corporation Limited
289,BAJAJELEC,Bajaj Electricals Limited
290,APTUS,Aptus Value Housing Finance India Limited
291,SUVENPHAR,Suven Pharmaceuticals Limited
292,ASTERDM,Aster DM Healthcare Limited
293,RHIM,RHI MAGNESITA INDIA LIMITED
294,KEC,KEC International Limited
295,SONATSOFTW,Sonata Software Limited
296,AETHER,Aether Industries Limited
297,DCMSHRIRAM,DCM Shriram Limited
298,IEX,Indian Energy Exchange Limited
299,HAPPSTMNDS,Happiest Minds Technologies Limited
300,KIMS,Krishna Institute of Medical Sciences Limited
301,ALKYLAMINE,Alkyl Amines Chemicals Limited
302,CYIENT,Cyient Limited
303,CHAMBLFERT,Chambal Fertilizers & Chemicals Limited
304,ASAHIINDIA,Asahi India Glass Limited
305,CASTROLIND,Castrol India Limited
306,BRIGADE,Brigade Enterprises Limited
307,KALYANKJIL,Kalyan Jewellers India Limited
308,TTML,Tata Teleservices (Maharashtra) Limited
309,VGUARD,V-Guard Industries Limited
310,NLCINDIA,NLC India Limited
311,LAXMIMACH,Lakshmi Machine Works Limited
312,TRITURBINE,Triveni Turbine Limited
313,FINPIPE,Finolex Industries Limited
314,AKZOINDIA,Akzo Nobel India Limited
315,MANAPPURAM,Manappuram Finance Limited
316,EIHOTEL,EIH Limited
317,CENTURYPLY,Century Plyboards (India) Limited
318,NATCOPHARM,Natco Pharma Limited
319,KIOCL,KIOCL Limited
320,CHOLAHLDNG,Cholamandalam Financial Holdings Limited
321,CAMPUS,Campus Activewear Limited
322,CAMS,Computer Age Management Services Limited
323,AMARAJABAT,Amara Raja Batteries Limited
324,ZYDUSWELL,Zydus Wellness Limited
325,BASF,BASF India Limited
326,TEJASNET,Tejas Networks Limited
327,APLLTD,Alembic Pharmaceuticals Limited
328,MGL,Mahanagar Gas Limited
329,GRINFRA,G R Infraprojects Limited
330,ANGELONE,Angel One Limited
331,SFL,Sheela Foam Limited
332,TTKPRESTIG,TTK Prestige Limited
333,APARINDS,Apar Industries Limited
334,HINDCOPPER,Hindustan Copper Limited
335,CDSL,Central Depository Services (India) Limited
336,GODFRYPHLP,Godfrey Phillips India Limited
337,RENUKA,Shree Renuka Sugars Limited
338,CUB,City Union Bank Limited
339,JKLAKSHMI,JK Lakshmi Cement Limited
340,ANURAS,Anupam Rasayan India Limited
341,MRPL,Mangalore Refinery and Petrochemicals Limited
342,GESHIP,The Great Eastern Shipping Company Limited
343,POLYMED,Poly Medicure Limited
344,NSLNISP,NMDC Steel Limited
345,BIKAJI,Bikaji Foods International Limited
346,MOTILALOFS,Motilal Oswal Financial Services Limited
347,ABSLAMC,Aditya Birla Sun Life AMC Limited
348,CESC,CESC Limited
349,TATAINVEST,Tata Investment Corporation Limited
350,ALLCARGO,Allcargo Logistics Limited
351,KALPATPOWR,Kalpataru Power Transmission Limited
352,PNBHOUSING,PNB Housing Finance Limited
353,HUDCO,Housing & Urban Development Corporation Limited
354,ITI,ITI Limited
355,ROUTE,ROUTE MOBILE LIMITED
356,RITES,RITES Limited
357,VTL,Vardhman Textiles Limited
358,RBLBANK,RBL Bank Limited
359,HFCL,HFCL Limited
360,KARURVYSYA,Karur Vysya Bank Limited
361,CERA,Cera Sanitaryware Limited
362,EIDPARRY,EID Parry India Limited
363,INGERRAND,Ingersoll Rand (India) Limited
364,GALAXYSURF,Galaxy Surfactants Limited
365,PPLPHARMA,Piramal Pharma Limited
366,UTIAMC,UTI Asset Management Company Limited
367,KRBL,KRBL Limited
368,RAYMOND,Raymond Limited
369,ASTRAZEN,AstraZeneca Pharma India Limited
370,VIPIND,VIP Industries Limited
371,ACI,Archean Chemical Industries Limited
372,BALRAMCHIN,Balrampur Chini Mills Limited
373,SUZLON,Suzlon Energy Limited
374,GODREJAGRO,Godrej Agrovet Limited
375,GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited
376,ERIS,Eris Lifesciences Limited
377,PGHL,Procter & Gamble Health Limited
378,MEDPLUS,Medplus Health Services Limited
379,SAPPHIRE,Sapphire Foods India Limited
380,DATAPATTNS,Data Patterns (India) Limited
381,SUNCLAYLTD,Sundaram Clayton Limited
382,JBMA,JBM Auto Limited
383,EASEMYTRIP,Easy Trip Planners Limited
384,CCL,CCL Products (India) Limited
385,EQUITASBNK,Equitas Small Finance Bank Limited
386,CHALET,Chalet Hotels Limited
387,RAINBOW,Rainbow Childrens Medicare Limited
388,PNCINFRA,PNC Infratech Limited
389,FSL,Firstsource Solutions Limited
390,KSB,Ksb Limited
391,BSOFT,BIRLASOFT LIMITED
392,KNRCON,KNR Constructions Limited
393,SHOPERSTOP,Shoppers Stop Limited
394,SYMPHONY,Symphony Limited
395,CENTURYTEX,Century Textiles & Industries Limited
396,CANFINHOME,Can Fin Homes Limited
397,GRANULES,Granules India Limited
398,TANLA,Tanla Platforms Limited
399,JYOTHYLAB,Jyothy Labs Limited
400,SPLPETRO,Supreme Petrochem Limited
401,DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited
402,CRAFTSMAN,Craftsman Automation Limited
403,BIRLACORPN,Birla Corporation Limited
404,BLS,BLS International Services Limited
405,SHYAMMETL,Shyam Metalics and Energy Limited
406,NCC,NCC Limited
407,GMMPFAUDLR,GMM Pfaudler Limited
408,LATENTVIEW,Latent View Analytics Limited
409,USHAMART,Usha Martin Limited
410,HOMEFIRST,Home First Finance Company India Limited
411,JKPAPER,JK Paper Limited
412,TMB,Tamilnad Mercantile Bank Limited
413,JINDWORLD,Jindal Worldwide Limited
414,METROPOLIS,Metropolis Healthcare Limited
415,SAREGAMA,Saregama India Limited
416,NBCC,NBCC (India) Limited
417,ECLERX,eClerx Services Limited
418,BALAMINES,Balaji Amines Limited
419,WELSPUNIND,Welspun India Limited
420,PRAJIND,Praj Industries Limited
421,COCHINSHIP,Cochin Shipyard Limited
422,ZENSARTECH,Zensar Technologies Limited
423,AMBER,Amber Enterprises India Limited
424,LEMONTREE,Lemon Tree Hotels Limited
425,PRINCEPIPE,Prince Pipes And Fittings Limited
426,TRIVENI,Triveni Engineering & Industries Limited
427,GARFIBRES,Garware Technical Fibres Limited
428,LXCHEM,Laxmi Organic Industries Limited
429,STLTECH,Sterlite Technologies Limited
430,CEATLTD,CEAT Limited
431,BSE,BSE Limited
432,SPARC,Sun Pharma Advanced Research Company Limited
433,ALOKINDS,Alok Industries Limited
434,ORIENTELEC,Orient Electric Limited
435,INDIACEM,The India Cements Limited
436,JUBLINGREA,Jubilant Ingrevia Limited
437,KIRLOSENG,Kirloskar Oil Engines Limited
438,TCIEXP,TCI Express Limited
439,JMFINANCIL,JM Financial Limited
440,NETWORK18,Network18 Media & Investments Limited
441,BBTC,Bombay Burmah Trading Corporation Limited
442,SWANENERGY,Swan Energy Limited
443,GPPL,Gujarat Pipavav Port Limited
444,KAYNES,Kaynes Technology India Limited
445,VRLLOG,VRL Logistics Limited
446,INTELLECT,Intellect Design Arena Limited
447,SWSOLAR,Sterling and Wilson Renewable Energy Limited
448,CHEMPLASTS,Chemplast Sanmar Limited
449,QUESS,Quess Corp Limited
450,ROLEXRINGS,Rolex Rings Limited
451,MAHLIFE,Mahindra Lifespace Developers Limited
452,ESABINDIA,Esab India Limited
453,MHRIL,Mahindra Holidays & Resorts India Limited
454,GOCOLORS,Go Fashion (India) Limited
455,HGS,Hinduja Global Solutions Limited
456,BORORENEW,BOROSIL RENEWABLES LIMITED
457,GAEL,Gujarat Ambuja Exports Limited
458,MAPMYINDIA,C.E. Info Systems Limited
459,PRSMJOHNSN,Prism Johnson Limited
460,RUSTOMJEE,Keystone Realtors Limited
461,IRCON,Ircon International Limited
462,RCF,Rashtriya Chemicals and Fertilizers Limited
463,WELCORP,Welspun Corp Limited
464,BEML,BEML Limited
465,GRSE,Garden Reach Shipbuilders & Engineers Limited
466,EPL,EPL Limited
467,MINDACORP,Minda Corporation Limited
468,GRAPHITE,Graphite India Limited
469,HGINFRA,H.G. Infra Engineering Limited
470,OLECTRA,Olectra Greentech Limited
471,RELINFRA,Reliance Infrastructure Limited
472,JUSTDIAL,Just Dial Limited
473,RAIN,Rain Industries Limited
474,IONEXCHANG,ION Exchange (India) Limited
475,EDELWEISS,Edelweiss Financial Services Limited
476,UJJIVANSFB,Ujjivan Small Finance Bank Limited
477,TV18BRDCST,TV18 Broadcast Limited
478,GPIL,Godawari Power And Ispat limited
479,MTARTECH,Mtar Technologies Limited
480,TCI,Transport Corporation of India Limited
481,RTNINDIA,RattanIndia Enterprises Limited
482,VSTIND,VST Industries Limited
483,SAFARI,Safari Industries (India) Limited
484,ACE,Action Construction Equipment Limited
485,MAHSCOOTER,Maharashtra Scooters Limited
486,DELTACORP,Delta Corp Limited
487,GLS,Glenmark Life Sciences Limited
488,GHCL,GHCL Limited
489,INDIGOPNTS,Indigo Paints Limited
490,MAHSEAMLES,Maharashtra Seamless Limited
491,SUPRAJIT,Suprajit Engineering Limited
492,KFINTECH,Kfin Technologies Limited
493,GSFC,Gujarat State Fertilizers & Chemicals Limited
494,J&KBANK,The Jammu & Kashmir Bank Limited
495,RELIGARE,Religare Enterprises Limited
496,MASTEK,Mastek Limited
497,SIS,SIS LIMITED
498,JINDALSAW,Jindal Saw Limited
499,TEGA,Tega Industries Limited
500,SYRMA,Syrma SGS Technology Limited
501,AVANTIFEED,Avanti Feeds Limited
502,STARCEMENT,Star Cement Limited
503,IBULHSGFIN,Indiabulls Housing Finance Limited
504,RKFORGE,Ramkrishna Forgings Limited
505,CAPLIPOINT,Caplin Point Laboratories Limited
506,VAIBHAVGBL,Vaibhav Global Limited
507,RBA,Restaurant Brands Asia Limited
508,JUBLPHARMA,Jubilant Pharmova Limited
509,SHARDACROP,Sharda Cropchem Limited
510,NIITLTD,NIIT Limited
511,PCBL,PCBL LIMITED
512,MASFIN,MAS Financial Services Limited
513,SCI,Shipping Corporation Of India Limited
514,PDSL,PDS Limited
515,GUJALKALI,Gujarat Alkalies and Chemicals Limited
516,ELECON,Elecon Engineering Company Limited
517,CMSINFO,CMS Info Systems Limited
518,VMART,V-Mart Retail Limited
519,ICRA,ICRA Limited
520,JSWHL,JSW Holdings Limited
521,FDC,FDC Limited
522,CSBBANK,CSB Bank Limited
523,KTKBANK,The Karnataka Bank Limited
524,MMTC,MMTC Limited
525,ENGINERSIN,Engineers India Limited
526,SUNTECK,Sunteck Realty Limited
527,PRIVISCL,Privi Speciality Chemicals Limited
528,PARADEEP,Paradeep Phosphates Limited
529,SOBHA,Sobha Limited
530,FUSION,Fusion Micro Finance Limited
531,GMDCLTD,Gujarat Mineral Development Corporation Limited
532,VIJAYA,Vijaya Diagnostic Centre Limited
533,JAMNAAUTO,Jamna Auto Industries Limited
534,ANANTRAJ,Anant Raj Limited
535,SANSERA,Sansera Engineering Limited
536,MFL,Meghmani Finechem Limited
537,AHLUCONT,Ahluwalia Contracts (India) Limited
538,BSHSL,Bombay Super Hybrid Seeds Limited
539,TATACOFFEE,Tata Coffee Limited
540,TEAMLEASE,Teamlease Services Limited
541,JKTYRE,JK Tyre & Industries Limited
542,VARROC,Varroc Engineering Limited
543,GREENLAM,Greenlam Industries Limited
544,JPPOWER,Jaiprakash Power Ventures Limited
545,INFIBEAM,Infibeam Avenues Limited
546,SPANDANA,Spandana Sphoorty Financial Limited
547,HSCL,Himadri Speciality Chemical Limited
548,BHARATRAS,Bharat Rasayan Limited
549,RAJRATAN,Rajratan Global Wire Limited
550,LAOPALA,La Opala RG Limited
551,SARDAEN,Sarda Energy & Minerals Limited
552,RALLIS,Rallis India Limited
553,BOROLTD,Borosil Limited
554,RATEGAIN,Rategain Travel Technologies Limited
555,SCHNEIDER,Schneider Electric Infrastructure Limited
