Sr. No.,Symbol,Company Name
556,RPOWER,Reliance Power Limited
557,ARVINDFASN,Arvind Fashions Limited
558,TATVA,Tatva Chintan Pharma Chem Limited
559,POWERMECH,Power Mech Projects Limited
560,HCG,Healthcare Global Enterprises Limited
561,NESCO,Nesco Limited
562,HEIDELBERG,HeidelbergCement India Limited
563,TECHNOE,Techno Electric & Engineering Company Limited
564,POLYPLEX,Polyplex Corporation Limited
565,SURYAROSNI,Surya Roshni Limited
566,AUTOAXLES,Automotive Axles Limited
567,JWL,Jupiter Wagons Limited
568,NFL,National Fertilizers Limited
569,HEG,HEG Limited
570,RAJRILTD,Raj Rayon Industries Limited
571,CHENNPETRO,Chennai Petroleum Corporation Limited
572,WSTCSTPAPR,West Coast Paper Mills Limited
573,LUXIND,Lux Industries Limited
574,HIKAL,Hikal Limited
575,MIDHANI,Mishra Dhatu Nigam Limited
576,HLEGLAS,HLE Glascoat Limited
577,SHAREINDIA,Share India Securities Limited
578,NOCIL,NOCIL Limited
579,NAZARA,Nazara Technologies Limited
580,BANARISUG,Bannari Amman Sugars Limited
581,ANANDRATHI,Anand Rathi Wealth Limited
582,PRUDENT,Prudent Corporate Advisory Services Limited
583,GRAVITA,Gravita India Limited
584,GREENPANEL,Greenpanel Industries Limited
585,VESUVIUS,Vesuvius India Limited
586,DCBBANK,DCB Bank Limited
587,ROSSARI,Rossari Biotech Limited
588,RESPONIND,Responsive Industries Limited
589,TINPLATE,The Tinplate Company of India Limited
590,KIRLOSBROS,Kirloskar Brothers Limited
591,RAILTEL,Railtel Corporation Of India Limited
592,AMIORG,Ami Organics Limited
593,ISGEC,Isgec Heavy Engineering Limited
594,NEOGEN,Neogen Chemicals Limited
595,MARKSANS,Marksans Pharma Limited
596,NAVA,NAVA LIMITED
597,NEWGEN,Newgen Software Technologies Limited
598,BECTORFOOD,Mrs. Bectors Food Specialities Limited
599,TWL,Titagarh Wagons Limited
600,AARTIDRUGS,Aarti Drugs Limited
601,UJJIVAN,Ujjivan Financial Services Limited
602,GATEWAY,Gateway Distriparks Limited
603,SULA,Sula Vineyards Limited
604,DAAWAT,LT Foods Limited
605,SOUTHBANK,The South Indian Bank Limited
606,GET&D,GE T&D India Limited
607,HARSHA,Harsha Engineers International Limited
608,PGEL,PG Electroplast Limited
609,RSYSTEMS,R Systems International Limited
610,INDOCO,Indoco Remedies Limited
611,MOLDTKPAC,Mold-Tek Packaging Limited
612,IFBIND,IFB Industries Limited
613,SBCL,Shivalik Bimetal Controls Limited
614,BCG,Brightcom Group Limited
615,GREAVESCOT,Greaves Cotton Limited
616,MOIL,MOIL Limited
617,TATASTLLP,Tata Steel Long Products Limited
618,TARSONS,Tarsons Products Limited
619,SHANTIGEAR,Shanthi Gears Limited
620,CHOICEIN,Choice International Limited
621,TIIL,Technocraft Industries (India) Limited
622,DHANUKA,Dhanuka Agritech Limited
623,JCHAC,Johnson Controls - Hitachi Air Conditioning India Limited
624,DODLA,Dodla Dairy Limited
625,DALMIASUG,Dalmia Bharat Sugar and Industries Limited
626,VOLTAMP,Voltamp Transformers Limited
627,ASTEC,Astec LifeSciences Limited
628,SUDARSCHEM,Sudarshan Chemical Industries Limited
629,KSCL,Kaveri Seed Company Limited
630,SUNFLAG,Sunflag Iron And Steel Company Limited
631,IBREALEST,Indiabulls Real Estate Limited
632,THOMASCOOK,Thomas Cook  (India)  Limited
633,HBLPOWER,HBL Power Systems Limited
634,INOXWIND,Inox Wind Limited
635,NILKAMAL,Nilkamal Limited
636,ZENTEC,Zen Technologies Limited
637,TCNSBRANDS,TCNS Clothing Co. Limited
638,ADVENZYMES,Advanced Enzyme Technologies Limited
639,STAR,Strides Pharma Science Limited
640,FCL,Fineotex Chemical Limited
641,KKCL,Kewal Kiran Clothing Limited
642,HINDWAREAP,Hindware Home Innovation Limited
643,MAHLOG,Mahindra Logistics Limited
644,EMIL,Electronics Mart India Limited
645,JTEKTINDIA,Jtekt India Limited
646,MANINFRA,Man Infraconstruction Limited
647,ITDC,India Tourism Development Corporation Limited
648,APCOTEXIND,Apcotex Industries Limited
649,PRICOLLTD,Pricol Limited
650,PTC,PTC India Limited
651,AARTIPHARM,Aarti Pharmalabs Limited
652,MBAPL,Madhya Bharat Agro Products Limited
653,SAGCEM,Sagar Cements Limited
654,TDPOWERSYS,TD Power Systems Limited
655,JAICORPLTD,Jai Corp Limited
656,DBL,Dilip Buildcon Limited
657,BARBEQUE,Barbeque Nation Hospitality Limited
658,UNIPARTS,Uniparts India Limited
659,UFLEX,UFLEX Limited
660,WONDERLA,Wonderla Holidays Limited
661,PSPPROJECT,PSP Projects Limited
662,KIRLOSIND,Kirloskar Industries Limited
663,IPL,India Pesticides Limited
664,DISHTV,Dish TV India Limited
665,TATAMETALI,Tata Metaliks Limited
666,PAISALO,Paisalo Digital Limited
667,PFOCUS,Prime Focus Limited
668,HEMIPROP,Hemisphere Properties India Limited
669,LGBBROSLTD,LG Balakrishnan & Bros Limited
670,MAITHANALL,Maithan Alloys Limited
671,SSWL,Steel Strips Wheels Limited
672,NEULANDLAB,Neuland Laboratories Limited
673,HATHWAY,Hathway Cable & Datacom Limited
674,THYROCARE,Thyrocare Technologies Limited
675,ORIENTCEM,Orient Cement Limited
676,DREAMFOLKS,Dreamfolks Services Limited
677,ETHOSLTD,Ethos Limited
678,GLOBUSSPR,Globus Spirits Limited
679,GANESHHOUC,Ganesh Housing Corporation Limited
680,ARVIND,Arvind Limited
681,ICIL,Indo Count Industries Limited
682,SHRIPISTON,Shriram Pistons & Rings Limited
683,WOCKPHARMA,Wockhardt Limited
684,DBREALTY,D B Realty Limited
685,ISMTLTD,ISMT Limited
686,JINDALPOLY,Jindal Poly Films Limited
687,WABAG,VA Tech Wabag Limited
688,BAJAJCON,Bajaj Consumer Care Limited
689,GENUSPOWER,Genus Power Infrastructures Limited
690,BUTTERFLY,Butterfly Gandhimathi Appliances Limited
691,NAVNETEDUL,Navneet Education Limited
692,GOKEX,Gokaldas Exports Limited
693,APOLLOPIPE,Apollo Pipes Limited
694,LANDMARK,Landmark Cars Limited
695,IFCI,IFCI Limited
696,ATFL,Agro Tech Foods Limited
697,EVEREADY,Eveready Industries India Limited
698,AGI,AGI Greenpac Limited
699,TI,Tilaknagar Industries Limited
700,ASHOKA,Ashoka Buildcon Limited
701,SOMANYCERA,Somany Ceramics Limited
702,HCC,Hindustan Construction Company Limited
703,JISLJALEQS,Jain Irrigation Systems Limited
704,VINDHYATEL,Vindhya Telelinks Limited
705,FIEMIND,Fiem Industries Limited
706,TASTYBITE,Tasty Bite Eatables Limited
707,JAYNECOIND,Jayaswal Neco Industries Limited
708,HONDAPOWER,Honda India Power Products Limited
709,UNICHEMLAB,Unichem Laboratories Limited
710,MUKANDLTD,Mukand Limited
711,CIGNITITEC,Cigniti Technologies Limited
712,MMFL,MM Forgings Limited
713,VENKEYS,Venky's (India) Limited
714,RAMKY,Ramky Infrastructure Limited
715,DIVGIITTS,Divgi Torqtransfer Systems Limited
716,CAMLINFINE,Camlin Fine Sciences Limited
717,SHILPAMED,Shilpa Medicare Limited
718,GULFOILLUB,Gulf Oil Lubricants India Limited
719,MOL,Meghmani Organics Limited
720,DOLLAR,Dollar Industries Limited
721,VSTTILLERS,V.S.T Tillers Tractors Limited
722,SUBROS,Subros Limited
723,DCAL,Dishman Carbogen Amcis Limited
724,GABRIEL,Gabriel India Limited
725,MAXVIL,Max Ventures and Industries Limited
726,SIYSIL,Siyaram Silk Mills Limited
727,TVSSRICHAK,TVS Srichakra Limited
728,ASTRAMICRO,Astra Microwave Products Limited
729,JKIL,J.Kumar Infraprojects Limited
730,JAGRAN,Jagran Prakashan Limited
731,ELECTCAST,Electrosteel Castings Limited
732,CARERATING,CARE Ratings Limited
733,INDIAGLYCO,India Glycols Limited
734,BALMLAWRIE,Balmer Lawrie & Company Limited
735,KOLTEPATIL,Kolte - Patil Developers Limited
736,IMAGICAA,Imagicaaworld Entertainment Limited
737,WELENT,Welspun Enterprises Limited
738,TIPSINDLTD,TIPS Industries Limited
739,SWARAJENG,Swaraj Engines Limited
740,MAYURUNIQ,Mayur Uniquoters Ltd
741,GANECOS,Ganesha Ecosphere Limited
742,PARAS,Paras Defence and Space Technologies Limited
743,LUMAXTECH,Lumax Auto Technologies Limited
744,ACCELYA,Accelya Solutions India Limited
745,KESORAMIND,Kesoram Industries Limited
746,CARTRADE,Cartrade Tech Limited
747,MPSLTD,MPS Limited
748,SEQUENT,Sequent Scientific Limited
749,HIL,HIL Limited
750,GUFICBIO,Gufic Biosciences Limited
751,ITDCEM,ITD Cementation India Limited
752,PILANIINVS,Pilani Investment and Industries Corporation Limited
753,MSTCLTD,Mstc Limited
754,LSIL,Lloyds Steels Industries Limited
755,PANAMAPET,Panama Petrochem Limited
756,OPTIEMUS,Optiemus Infracom Limited
757,SIRCA,Sirca Paints India Limited
758,TIRUMALCHM,Thirumalai Chemicals Limited
759,DYNAMATECH,Dynamatic Technologies Limited
760,SUNDARMHLD,Sundaram Finance Holdings Limited
761,TIMETECHNO,Time Technoplast Limited
762,DBCORP,D.B.Corp Limited
763,ASHIANA,Ashiana Housing Limited
764,CONFIPET,Confidence Petroleum India Limited
765,DIAMONDYD,Prataap Snacks Limited
766,NUCLEUS,Nucleus Software Exports Limited
767,GREENPLY,Greenply Industries Limited
768,JPASSOCIAT,Jaiprakash Associates Limited
769,WENDT,Wendt (India) Limited
770,FINOPB,Fino Payments Bank Limited
771,FMGOETZE,Federal-Mogul Goetze (India) Limited.
772,SANGHIIND,Sanghi Industries Limited
773,VAKRANGEE,Vakrangee Limited
774,GNA,GNA Axles Limited
775,AMRUTANJAN,Amrutanjan Health Care Limited
776,EMUDHRA,eMudhra Limited
777,DATAMATICS,Datamatics Global Services Limited
778,SHARDAMOTR,Sharda Motor Industries Limited
779,IOLCP,IOL Chemicals and Pharmaceuticals Limited
780,LUMAXIND,Lumax Industries Limited
781,BAJAJHIND,Bajaj Hindusthan Sugar Limited
782,STYLAMIND,Stylam Industries Limited
783,ANDHRAPAP,ANDHRA PAPER LIMITED
784,SOTL,Savita Oil Technologies Limited
785,ADFFOODS,ADF Foods Limited
786,VIDHIING,Vidhi Specialty Food Ingredients Limited
787,KABRAEXTRU,Kabra Extrusion Technik Limited
788,BEPL,Bhansali Engineering Polymers Limited
789,RUPA,Rupa & Company Limited
790,NACLIND,NACL Industries Limited
791,VSSL,Vardhman Special Steels Limited
792,VISHNU,Vishnu Chemicals Limited
793,DWARKESH,Dwarikesh Sugar Industries Limited
794,DHANI,Dhani Services Limited
795,BANCOINDIA,Banco Products (I) Limited
796,KINGFA,Kingfa Science & Technology (India) Limited
797,SUBEXLTD,Subex Limited
798,HINDOILEXP,Hindustan Oil Exploration Company Limited
799,RTNPOWER,RattanIndia Power Limited
800,VADILALIND,Vadilal Industries Limited
801,BBOX,Black Box Limited
802,ORCHPHARMA,Orchid Pharma Limited
803,PURVA,Puravankara Limited
804,COSMOFIRST,COSMO FIRST LIMITED
805,IMFA,Indian Metals & Ferro Alloys Limited
806,SUPRIYA,Supriya Lifescience Limited
807,SAKSOFT,Saksoft Limited
808,IIFLSEC,IIFL Securities Limited
809,SANGHVIMOV,Sanghvi Movers Limited
810,GOKULAGRO,Gokul Agro Resources Limited
811,ALEMBICLTD,Alembic Limited
812,VENUSPIPES,Venus Pipes & Tubes Limited
813,SEAMECLTD,Seamec Limited
814,TNPL,Tamil Nadu Newsprint & Papers Limited
815,KPIGREEN,KPI Green Energy Limited
816,BFINVEST,BF Investment Limited
817,SESHAPAPER,Seshasayee Paper and Boards Limited
818,DHAMPURSUG,Dhampur Sugar Mills Limited
819,ANDHRSUGAR,The Andhra Sugars Limited
820,KIRIINDUS,Kiri Industries Limited
821,TTKHLTCARE,TTK Healthcare Limited
822,CARYSIL,CARYSIL LIMITED
823,GOCLCORP,GOCL Corporation Limited
824,JSWISPL,JSW Ispat Special Products Limited
825,STERTOOLS,Sterling Tools Limited
826,SHALBY,Shalby Limited
827,TIDEWATER,Tide Water Oil Company (India) Limited
828,KRSNAA,Krsnaa Diagnostics Limited
829,KRISHANA,Krishana Phoschem Limited
830,HUHTAMAKI,Huhtamaki India Limited
831,BBL,Bharat Bijlee Limited
832,SEPC,SEPC Limited
833,ORISSAMINE,The Orissa Minerals Development Company Limited
834,FILATEX,Filatex India Limited
835,THEJO,Thejo Engineering Limited
836,APTECHT,Aptech Limited
837,ORIENTHOT,Oriental Hotels Limited
838,DCXINDIA,DCX Systems Limited
839,FOSECOIND,Foseco India Limited
840,GOLDIAM,Goldiam International Limited
841,SHANKARA,Shankara Building Products Limited
842,INSECTICID,Insecticides (India) Limited
843,THANGAMAYL,Thangamayil Jewellery Limited
844,SHK,S H Kelkar and Company Limited
845,TEXRAIL,Texmaco Rail & Engineering Limited
846,CANTABIL,Cantabil Retail India Limited
847,GALLANTT,Gallantt Ispat Limited
848,HERITGFOOD,Heritage Foods Limited
849,KCP,KCP Limited
850,MOREPENLAB,Morepen Laboratories Limited
851,GATI,GATI Limited
852,RAMASTEEL,Rama Steel Tubes Limited
853,HESTERBIO,Hester Biosciences Limited
854,NRBBEARING,NRB Bearing Limited
855,INDOSTAR,IndoStar Capital Finance Limited
856,MONTECARLO,Monte Carlo Fashions Limited
857,KSL,Kalyani Steels Limited
858,KDDL,KDDL Limited
859,TCPLPACK,TCPL Packaging Limited
860,MARATHON,Marathon Nextgen Realty Limited
861,ARVSMART,Arvind SmartSpaces Limited
862,DCW,DCW Limited
863,DEN,Den Networks Limited
864,STEELXIND,STEEL EXCHANGE INDIA LIMITED
865,EIHAHOTELS,EIH Associated Hotels Limited
866,IGPL,IG Petrochemicals Limited
867,NITINSPIN,Nitin Spinners Limited
868,EXPLEOSOL,Expleo Solutions Limited
869,VERANDA,Veranda Learning Solutions Limited
870,SALASAR,Salasar Techno Engineering Limited
871,STYRENIX,Styrenix Performance Materials Limited
872,ADORWELD,Ador Welding Limited
873,BHAGCHEM,Bhagiradha Chemicals & Industries Limited
874,PCJEWELLER,PC Jeweller Limited
875,GENESYS,Genesys International Corporation Limited
876,STOVEKRAFT,Stove Kraft Limited
877,RANEHOLDIN,Rane Holdings Limited
878,NDTV,New Delhi Television Limited
879,XPROINDIA,Xpro India Limited
880,MANORAMA,Manorama Industries Limited
881,GRWRHITECH,Garware Hi-Tech Films Limited
882,HARIOMPIPE,Hariom Pipe Industries Limited
883,SANDHAR,Sandhar Technologies Limited
884,AVTNPL,AVT Natural Products Limited
885,IWEL,Inox Wind Energy Limited
886,SJS,S.J.S. Enterprises Limited
887,EVERESTIND,Everest Industries Limited
888,FAIRCHEMOR,Fairchem Organics Limited
889,SASKEN,Sasken Technologies Limited
890,OAL,Oriental Aromatics Limited
891,NELCO,NELCO Limited
892,RIIL,Reliance Industrial Infrastructure Limited
893,SOLARA,Solara Active Pharma Sciences Limited
894,TAJGVK,Taj GVK Hotels & Resorts Limited
895,BOMDYEING,Bombay Dyeing & Mfg Company Limited
896,MANGCHEFER,Mangalore Chemicals & Fertilizers Limited
897,GOODLUCK,Goodluck India Limited
898,RPGLIFE,RPG Life Sciences Limited
899,PATELENG,Patel Engineering Limited
900,SPIC,Southern Petrochemicals Industries Corporation  Limited
901,INOXGREEN,Inox Green Energy Services Limited
902,GIPCL,Gujarat Industries Power Company Limited
903,UNIVCABLES,Universal Cables Limited
904,NSIL,Nalwa Sons Investments Limited
905,HMT,HMT Limited
906,MATRIMONY,Matrimony.Com Limited
907,MTNL,Mahanagar Telephone Nigam Limited
908,SDBL,Som Distilleries & Breweries Limited
909,VALIANTORG,Valiant Organics Limited
910,ARMANFIN,Arman Financial Services Limited
911,REPCOHOME,Repco Home Finance Limited
912,HERANBA,Heranba Industries Limited
913,BFUTILITIE,BF Utilities Limited
914,PRECWIRE,Precision Wires India Limited
915,AXITA,Axita Cotton Limited
916,GRMOVER,GRM Overseas Limited
917,GTPL,GTPL Hathway Limited
918,IGARASHI,Igarashi Motors India Limited
919,INFOBEAN,InfoBeans Technologies Limited
920,ALICON,Alicon Castalloy Limited
921,THEMISMED,Themis Medicare Limited
922,TVTODAY,TV Today Network Limited
923,WHEELS,Wheels India Limited
924,RPSGVENT,RPSG VENTURES LIMITED
925,RAMCOIND,Ramco Industries Limited
926,SMLISUZU,SML Isuzu Limited
927,AHL,Abans Holdings Limited
928,UNIENTER,Uniphos Enterprises Limited
929,SATIN,Satin Creditcare Network Limited
930,KUANTUM,Kuantum Papers Limited
931,GANESHBE,Ganesh Benzoplast Limited
932,SUVEN,Suven Life Sciences Limited
933,SATIA,Satia Industries Limited
934,GULPOLY,Gulshan Polyols Limited
935,UGARSUGAR,The Ugar Sugar Works Limited
936,MANALIPETC,Manali Petrochemicals Limited
937,PIXTRANS,Pix Transmissions Limited
938,SHRIRAMPPS,Shriram Properties Limited
939,RADIANTCMS,Radiant Cash Management Services Limited
940,PNBGILTS,PNB Gilts Limited
941,INDORAMA,Indo Rama Synthetics (India) Limited
942,ASHAPURMIN,Ashapura Minechem Limited
943,UGROCAP,Ugro Capital Limited
944,AXISCADES,AXISCADES Technologies Limited
945,HITECH,Hi-Tech Pipes Limited
946,PUNJABCHEM,Punjab Chemicals & Crop Protection Limited
947,SURYODAY,Suryoday Small Finance Bank Limited
948,EKC,Everest Kanto Cylinder Limited
949,JASH,Jash Engineering Limited
950,DPSCLTD,DPSC Limited
951,TARC,TARC Limited
952,BHARATWIRE,Bharat Wire Ropes Limited
953,EXCELINDUS,Excel Industries Limited
954,SPECIALITY,Speciality Restaurants Limited
955,ANUP,The Anup Engineering Limited
956,SKIPPER,Skipper Limited
957,AJMERA,Ajmera Realty & Infra India Limited
958,SHALPAINTS,Shalimar Paints Limited
959,GMBREW,GM Breweries Limited
960,SANGAMIND,Sangam (India) Limited
961,SHIVALIK,Shivalik Rasayan Limited
962,GMRP&UI,GMR Power and Urban Infra Limited
963,PENIND,Pennar Industries Limited
964,GEOJITFSL,Geojit Financial Services Limited
965,BCLIND,Bcl Industries Limited
966,DBOL,Dhampur Bio Organics Limited
967,SHAILY,Shaily Engineering Plastics Limited
968,LIKHITHA,Likhitha Infrastructure Limited
969,MADRASFERT,Madras Fertilizers Limited
970,STEELCAS,Steelcast Limited
971,MKPL,M K Proteins Limited
972,ROSSELLIND,Rossell India Limited
973,KITEX,Kitex Garments Limited
974,PRAKASH,Prakash Industries Limited
975,ARTEMISMED,Artemis Medicare Services Limited
976,RICOAUTO,Rico Auto Industries Limited
977,OMAXE,Omaxe Limited
978,CENTUM,Centum Electronics Limited
979,ROTO,Roto Pumps Limited
980,PRECAM,Precision Camshafts Limited
981,BIGBLOC,Bigbloc Construction Limited
982,SHREDIGCEM,Shree Digvijay Cement Co.Ltd
983,CLSEL,Chaman Lal Setia Exports Limited
984,GTLINFRA,GTL Infrastructure Limited
985,PGIL,Pearl Global Industries Limited
986,UTTAMSUGAR,Uttam Sugar Mills Limited
987,AVADHSUGAR,Avadh Sugar & Energy Limited
988,PITTIENG,Pitti Engineering Limited
989,5PAISA,5Paisa Capital Limited
990,NAHARSPING,Nahar Spinning Mills Limited
991,SPCENET,Spacenet Enterprises India Limited
992,SPORTKING,Sportking India Limited
993,DEEPINDS,Deep Industries Limited
994,PARAGMILK,Parag Milk Foods Limited
995,AGARIND,Agarwal Industrial Corporation Limited
996,CONTROLPR,Control Print Limited
997,BAJAJHCARE,Bajaj Healthcare Limited
998,KAMDHENU,Kamdhenu Limited
999,CHEMCON,Chemcon Speciality Chemicals Limited
1000,GICHSGFIN,GIC Housing Finance Limited
1001,MEDICAMEQ,Medicamen Biotech Limited
1002,DLINKINDIA,D-Link (India) Limited
1003,ARIHANTSUP,Arihant Superstructures Limited
1004,VHL,Vardhman Holdings Limited
1005,PFS,PTC India Financial Services Limited
1006,HEXATRADEX,Hexa Tradex Limited
1007,RILINFRA,Rachana Infrastructure Limited
1008,CAPACITE,Capacit'e Infraprojects Limited
1009,SPAL,S. P. Apparels Limited
1010,NCLIND,NCL Industries Limited
1011,63MOONS,63 moons technologies limited
1012,NAVKARCORP,Navkar Corporation Limited
1013,ORIENTPPR,Orient Paper & Industries Limited
1014,DREDGECORP,Dredging Corporation of India Limited
1015,AMBIKCO,Ambika Cotton Mills Limited
1016,CENTRUM,Centrum Capital Limited
1017,LINC,Linc Limited
1018,RGL,Renaissance Global Limited
1019,SCHAND,S Chand And Company Limited
1020,NELCAST,Nelcast Limited
1021,FAZE3Q,Faze Three Limited
1022,KICL,Kalyani Investment Company Limited
1023,DVL,Dhunseri Ventures Limited
1024,JAGSNPHARM,Jagsonpal Pharmaceuticals Limited
1025,POKARNA,Pokarna Limited
1026,IFGLEXPOR,IFGL Refractories Limited
1027,TRIL,Transformers And Rectifiers (India) Limited
1028,CENTENKA,Century Enka Limited
1029,SMCGLOBAL,SMC Global Securities Limited
1030,ROHLTD,Royal Orchid Hotels Limited
1031,INDNIPPON,India Nippon Electricals Limited
1032,SHAKTIPUMP,Shakti Pumps (India) Limited
1033,NGLFINE,NGL Fine-Chem Limited
1034,IMPAL,India Motor Parts and Accessories Limited
1035,BLISSGVS,Bliss GVS Pharma Limited
1036,ALLSEC,Allsec Technologies Limited
1037,ORIENTBELL,Orient Bell Limited
1038,MANGLMCEM,Mangalam Cement Limited
1039,SANDESH,The Sandesh Limited
1040,BODALCHEM,Bodal Chemicals Limited
1041,ESTER,Ester Industries Limited
1042,ZOTA,Zota Health Care LImited
1043,RSWM,RSWM Limited
1044,INDRAMEDCO,Indraprastha Medical Corporation Limited
1045,QUICKHEAL,Quick Heal Technologies Limited
1046,SRHHYPOLTD,Sree Rayalaseema Hi-Strength Hypo Limited
1047,AURIONPRO,Aurionpro Solutions Limited
1048,GSLSU,Global Surfaces Limited
1049,SASTASUNDR,Sastasundar Ventures Limited
1050,MANAKSIA,Manaksia Limited
1051,AWHCL,Antony Waste Handling Cell Limited
1052,BLKASHYAP,B. L. Kashyap and Sons Limited
1053,RAMRAT,Ram Ratna Wires Limited
1054,JINDRILL,Jindal Drilling And Industries Limited
1055,VIMTALABS,Vimta Labs Limited
1056,CLOUD,Varanium Cloud Limited
1057,DPABHUSHAN,D. P. Abhushan Limited
1058,MOLDTECH,Mold-Tek Technologies Limited
1059,ATULAUTO,Atul Auto Limited
1060,KOKUYOCMLN,Kokuyo Camlin Limited
1061,SIGACHI,Sigachi Industries Limited
1062,HIMATSEIDE,Himatsingka Seide Limited
1063,LINCOLN,Lincoln Pharmaceuticals Limited
1064,GREENPOWER,Orient Green Power Company Limited
1065,EMAMIPAP,Emami Paper Mills Limited
1066,SATINDLTD,Sat Industries Limited
1067,RAMCOSYS,Ramco Systems Limited
1068,HPAL,HP Adhesives Limited
1069,OCCL,Oriental Carbon & Chemicals Limited
1070,FOCUS,Focus Lighting and Fixtures Limited
1071,GEPIL,GE Power India Limited
1072,SUTLEJTEX,Sutlej Textiles and Industries Limited
1073,PANACEABIO,Panacea Biotec Limited
1074,JAIBALAJI,Jai Balaji Industries Limited
1075,RML,Rane (Madras) Limited
1076,JETAIRWAYS,Jet Airways (India) Limited
1077,TRACXN,Tracxn Technologies Limited
1078,KHAICHEM,Khaitan Chemicals & Fertilizers Limited
1079,TNPETRO,Tamilnadu PetroProducts Limited
1080,ONWARDTEC,Onward Technologies Limited
1081,TFCILTD,Tourism Finance Corporation of India Limited
1082,ONMOBILE,OnMobile Global Limited
1083,INNOVANA,Innovana Thinklabs Limited
1084,GANDHITUBE,Gandhi Special Tubes Limited
1085,TEXINFRA,Texmaco Infrastructure & Holdings Limited
1086,MEDICO,Medico Remedies Limited
1087,TVSELECT,TVS Electronics Limited
1088,HEUBACHIND,Heubach Colorants India Limited
1089,VINYLINDIA,Vinyl Chemicals (India) Limited
1090,PARACABLES,Paramount Communications Limited
1091,FOODSIN,Foods & Inns Limited
1092,HLVLTD,HLV LIMITED
1093,COFFEEDAY,Coffee Day Enterprises Limited
1094,BETA,Beta Drugs Limited
1095,APEX,Apex Frozen Foods Limited
